year,province_id,province_name,track,school_name,school_province,city,tier,f985,f211,shuangyiliu,min_score,min_rank,avg_score,batch
2020,gx,广西,history,肇庆学院,广东,肇庆市,本科,0,0,0,491,11715,,普通类_本科二批
2020,gx,广西,history,河北中医学院,河北,石家庄市,本科,0,0,0,491,11715,,普通类_本科二批
2020,gx,广西,history,曲阜师范大学,山东,济宁市,本科,0,0,0,491,11715,,普通类_本科二批
2020,gx,广西,history,哈尔滨理工大学,黑龙江,哈尔滨市,本科,0,0,0,527,11878,,普通类_本科一批
2020,gx,广西,history,浙大城市学院,浙江,杭州市,本科,0,0,0,490,11929,,普通类_本科二批
2020,gx,广西,history,云南财经大学,云南,昆明市,本科,0,0,0,490,11929,,普通类_本科二批
2020,gx,广西,history,重庆文理学院,重庆,重庆市,本科,0,0,0,490,11929,,普通类_本科二批
2020,gx,广西,history,齐鲁工业大学,山东,济南市,本科,0,0,0,506,12048,,普通类_本科二批
2020,gx,广西,history,中国劳动关系学院,北京,北京市,本科,0,0,0,489,12144,,普通类_本科二批
2020,gx,广西,history,上海体育学院,上海,上海市,双一流,0,0,1,489,12144,,普通类_本科二批
2020,gx,广西,history,河北经贸大学,河北,石家庄市,本科,0,0,0,489,12144,,普通类_本科二批
2020,gx,广西,history,嘉兴学院,浙江,嘉兴市,本科,0,0,0,489,12144,,普通类_本科二批
2020,gx,广西,history,吉林财经大学,吉林,长春市,本科,0,0,0,488,12341,,普通类_本科二批
2020,gx,广西,history,武汉纺织大学,湖北,武汉市,本科,0,0,0,488,12341,,普通类_本科二批
2020,gx,广西,history,河北科技大学,河北,石家庄市,本科,0,0,0,488,12341,,普通类_本科二批
2020,gx,广西,history,大连交通大学,辽宁,大连市,本科,0,0,0,488,12341,,普通类_本科二批
2020,gx,广西,history,佛山科学技术学院,广东,佛山市,本科,0,0,0,506,12575,511,普通类_本科二批
2020,gx,广西,history,南京晓庄学院,江苏,南京市,本科,0,0,0,487,12586,,普通类_本科二批
2020,gx,广西,history,江苏第二师范学院,江苏,南京市,本科,0,0,0,487,12586,,普通类_本科二批
2020,gx,广西,history,武汉轻工大学,湖北,武汉市,本科,0,0,0,487,12586,,普通类_本科二批
2020,gx,广西,history,甘肃政法大学,甘肃,兰州市,本科,0,0,0,487,12586,,普通类_本科二批
2020,gx,广西,history,山东建筑大学,山东,济南市,本科,0,0,0,487,12586,,普通类_本科二批
2020,gx,广西,history,浙江科技学院,浙江,杭州市,本科,0,0,0,486,12829,,普通类_本科二批
2020,gx,广西,history,沈阳航空航天大学,辽宁,沈阳市,本科,0,0,0,502,12933,,普通类_本科二批
2020,gx,广西,history,安徽理工大学,安徽,淮南市,本科,0,0,0,521,12935,,普通类_本科二批
2020,gx,广西,history,郑州轻工业大学,河南,郑州市,本科,0,0,0,485,13066,,普通类_本科二批
2020,gx,广西,history,南昌航空大学,江西,南昌市,本科,0,0,0,485,13066,,普通类_本科二批
2020,gx,广西,history,闽南师范大学,福建,漳州市,本科,0,0,0,485,13066,,普通类_本科二批
